Geography,variable,population
British Columbia / Colombie-Britannique ( 26.1%),Tigrigna,850
British Columbia / Colombie-Britannique ( 26.1%),"Semitic languages, n.i.e.",720
British Columbia / Colombie-Britannique ( 26.1%),Bengali_3,2545
British Columbia / Colombie-Britannique ( 26.1%),Gujarati_3,9325
British Columbia / Colombie-Britannique ( 26.1%),Hindi,66870
British Columbia / Colombie-Britannique ( 26.1%),Konkani,345
British Columbia / Colombie-Britannique ( 26.1%),Marathi,725
British Columbia / Colombie-Britannique ( 26.1%),Panjabi (Punjabi),213315
British Columbia / Colombie-Britannique ( 26.1%),Sindhi,2470
British Columbia / Colombie-Britannique ( 26.1%),Sinhala (Sinhalese),2225
British Columbia / Colombie-Britannique ( 26.1%),Urdu,13375
British Columbia / Colombie-Britannique ( 26.1%),Nepali_3,1110
British Columbia / Colombie-Britannique ( 26.1%),Kurdish,1510
British Columbia / Colombie-Britannique ( 26.1%),Pashto,1270
British Columbia / Colombie-Britannique ( 26.1%),Persian (Farsi),39715
British Columbia / Colombie-Britannique ( 26.1%),"Indo-Iranian languages, n.i.e.",1000
British Columbia / Colombie-Britannique ( 26.1%),Kannada,395
British Columbia / Colombie-Britannique ( 26.1%),Malayalam,2140
British Columbia / Colombie-Britannique ( 26.1%),Tamil_3,5345
British Columbia / Colombie-Britannique ( 26.1%),Telugu,855
British Columbia / Colombie-Britannique ( 26.1%),Japanese_6,33455
British Columbia / Colombie-Britannique ( 26.1%),Korean_6,51145
British Columbia / Colombie-Britannique ( 26.1%),Cantonese,169005
British Columbia / Colombie-Britannique ( 26.1%),Fukien,2565
British Columbia / Colombie-Britannique ( 26.1%),Hakka,1130
British Columbia / Colombie-Britannique ( 26.1%),Mandarin,144610
British Columbia / Colombie-Britannique ( 26.1%),Taiwanese_3,8940
British Columbia / Colombie-Britannique ( 26.1%),"Chinese, n.o.s.",114225
British Columbia / Colombie-Britannique ( 26.1%),Lao,1600
British Columbia / Colombie-Britannique ( 26.1%),Thai_3,3625
British Columbia / Colombie-Britannique ( 26.1%),Khmer (Cambodian),1420
British Columbia / Colombie-Britannique ( 26.1%),Vietnamese_3,30815
British Columbia / Colombie-Britannique ( 26.1%),Bisayan languages,4685
British Columbia / Colombie-Britannique ( 26.1%),Ilocano,4315
British Columbia / Colombie-Britannique ( 26.1%),Malay,6760
British Columbia / Colombie-Britannique ( 26.1%),"Tagalog (Pilipino,Filipino)",99895
British Columbia / Colombie-Britannique ( 26.1%),Akan (Twi),525
British Columbia / Colombie-Britannique ( 26.1%),Lingala,360
British Columbia / Colombie-Britannique ( 26.1%),Rundi (Kirundi),110
British Columbia / Colombie-Britannique ( 26.1%),Rwanda (Kinyarwanda),125
British Columbia / Colombie-Britannique ( 26.1%),Swahili,3245
British Columbia / Colombie-Britannique ( 26.1%),"Bantu languages, n.i.e.",1065
British Columbia / Colombie-Britannique ( 26.1%),"Niger-Congo languages, n.i.e.",1445
British Columbia / Colombie-Britannique ( 26.1%),"African languages, n.i.e.",1010
British Columbia / Colombie-Britannique ( 26.1%),Creoles,1520
British Columbia / Colombie-Britannique ( 26.1%),Other non-Aboriginal languages,20180
British Columbia / Colombie-Britannique ( 26.1%),Males in private households by non-official languages spoken,643765
British Columbia / Colombie-Britannique ( 26.1%),Aboriginal languages_1,7215
British Columbia / Colombie-Britannique ( 26.1%),Algonquin_1,0
British Columbia / Colombie-Britannique ( 26.1%),Atikamekw_1,0
British Columbia / Colombie-Britannique ( 26.1%),Blackfoot_1,40
British Columbia / Colombie-Britannique ( 26.1%),Cree languages_1,765
British Columbia / Colombie-Britannique ( 26.1%),Mi'kmaq_1,0
British Columbia / Colombie-Britannique ( 26.1%),Innu/Montagnais_1,0
British Columbia / Colombie-Britannique ( 26.1%),Ojibway_1,115
British Columbia / Colombie-Britannique ( 26.1%),Oji-Cree_1,0
British Columbia / Colombie-Britannique ( 26.1%),Carrier_1,950
British Columbia / Colombie-Britannique ( 26.1%),Dene_1,60
British Columbia / Colombie-Britannique ( 26.1%),Tlicho (Dogrib)_1,0
British Columbia / Colombie-Britannique ( 26.1%),"Slavey, n.o.s._1",50
British Columbia / Colombie-Britannique ( 26.1%),Stoney_1,0
British Columbia / Colombie-Britannique ( 26.1%),Inuktitut_1,80
British Columbia / Colombie-Britannique ( 26.1%),Other Aboriginal languages_1,5275
British Columbia / Colombie-Britannique ( 26.1%),Non-Aboriginal languages_1,636755
British Columbia / Colombie-Britannique ( 26.1%),Italian_4,17795
British Columbia / Colombie-Britannique ( 26.1%),Portuguese_4,9025
British Columbia / Colombie-Britannique ( 26.1%),Romanian_4,4255
British Columbia / Colombie-Britannique ( 26.1%),Spanish_4,45580
British Columbia / Colombie-Britannique ( 26.1%),Dutch_4,13025
British Columbia / Colombie-Britannique ( 26.1%),Flemish_4,220
British Columbia / Colombie-Britannique ( 26.1%),German_4,47230
British Columbia / Colombie-Britannique ( 26.1%),Yiddish_1,280
British Columbia / Colombie-Britannique ( 26.1%),Danish_4,3270
British Columbia / Colombie-Britannique ( 26.1%),Norwegian_4,1475
British Columbia / Colombie-Britannique ( 26.1%),Swedish_4,1955
British Columbia / Colombie-Britannique ( 26.1%),Afrikaans_1,3870
British Columbia / Colombie-Britannique ( 26.1%),Gaelic languages_1,640
British Columbia / Colombie-Britannique ( 26.1%),Bosnian_4,680
British Columbia / Colombie-Britannique ( 26.1%),Bulgarian_4,1055
British Columbia / Colombie-Britannique ( 26.1%),Croatian_4,4575
British Columbia / Colombie-Britannique ( 26.1%),Czech_4,2945
British Columbia / Colombie-Britannique ( 26.1%),Macedonian_4,170
British Columbia / Colombie-Britannique ( 26.1%),Polish_4,8795
British Columbia / Colombie-Britannique ( 26.1%),Russian_4,14190
British Columbia / Colombie-Britannique ( 26.1%),Serbian_4,4165
British Columbia / Colombie-Britannique ( 26.1%),Serbo-Croatian_1,650
British Columbia / Colombie-Britannique ( 26.1%),Slovak_4,1535
British Columbia / Colombie-Britannique ( 26.1%),Slovenian_4,635
British Columbia / Colombie-Britannique ( 26.1%),Ukrainian_4,4735
British Columbia / Colombie-Britannique ( 26.1%),Latvian_4,295
British Columbia / Colombie-Britannique ( 26.1%),Lithuanian_4,170
British Columbia / Colombie-Britannique ( 26.1%),Greek_4,4180
British Columbia / Colombie-Britannique ( 26.1%),Armenian_4,560
British Columbia / Colombie-Britannique ( 26.1%),Albanian_4,730
British Columbia / Colombie-Britannique ( 26.1%),Estonian_4,335
British Columbia / Colombie-Britannique ( 26.1%),Finnish_4,1655
British Columbia / Colombie-Britannique ( 26.1%),Hungarian_4,4995
British Columbia / Colombie-Britannique ( 26.1%),Turkish_1,2885
British Columbia / Colombie-Britannique ( 26.1%),Berber languages (Kabyle)_1,0
British Columbia / Colombie-Britannique ( 26.1%),Oromo_4,125
British Columbia / Colombie-Britannique ( 26.1%),Somali_4,385
British Columbia / Colombie-Britannique ( 26.1%),Amharic_1,790
British Columbia / Colombie-Britannique ( 26.1%),Arabic_1,9720
British Columbia / Colombie-Britannique ( 26.1%),Hebrew_1,2320
British Columbia / Colombie-Britannique ( 26.1%),Maltese_4,85
British Columbia / Colombie-Britannique ( 26.1%),Tigrigna_1,425
British Columbia / Colombie-Britannique ( 26.1%),"Semitic languages, n.i.e._1",395
British Columbia / Colombie-Britannique ( 26.1%),Bengali_4,1395
British Columbia / Colombie-Britannique ( 26.1%),Gujarati_4,4375
British Columbia / Colombie-Britannique ( 26.1%),Hindi_1,33155
British Columbia / Colombie-Britannique ( 26.1%),Konkani_1,160
British Columbia / Colombie-Britannique ( 26.1%),Marathi_1,415
British Columbia / Colombie-Britannique ( 26.1%),Panjabi (Punjabi)_1,106660
British Columbia / Colombie-Britannique ( 26.1%),Sindhi_1,1055
British Columbia / Colombie-Britannique ( 26.1%),Sinhala (Sinhalese)_1,1125
British Columbia / Colombie-Britannique ( 26.1%),Urdu_1,6975
British Columbia / Colombie-Britannique ( 26.1%),Nepali_4,540
British Columbia / Colombie-Britannique ( 26.1%),Kurdish_1,850
British Columbia / Colombie-Britannique ( 26.1%),Pashto_1,715
British Columbia / Colombie-Britannique ( 26.1%),Persian (Farsi)_1,19665
British Columbia / Colombie-Britannique ( 26.1%),"Indo-Iranian languages, n.i.e._1",505
British Columbia / Colombie-Britannique ( 26.1%),Kannada_1,180
British Columbia / Colombie-Britannique ( 26.1%),Malayalam_1,1150
British Columbia / Colombie-Britannique ( 26.1%),Tamil_4,2780
British Columbia / Colombie-Britannique ( 26.1%),Telugu_1,450
British Columbia / Colombie-Britannique ( 26.1%),Japanese_7,14150
British Columbia / Colombie-Britannique ( 26.1%),Korean_7,23835
British Columbia / Colombie-Britannique ( 26.1%),Cantonese_1,78905
British Columbia / Colombie-Britannique ( 26.1%),Fukien_1,1165
British Columbia / Colombie-Britannique ( 26.1%),Hakka_1,415
British Columbia / Colombie-Britannique ( 26.1%),Mandarin_1,66630
British Columbia / Colombie-Britannique ( 26.1%),Taiwanese_4,4120
British Columbia / Colombie-Britannique ( 26.1%),"Chinese, n.o.s._1",53315
British Columbia / Colombie-Britannique ( 26.1%),Lao_1,755
British Columbia / Colombie-Britannique ( 26.1%),Thai_4,1425
British Columbia / Colombie-Britannique ( 26.1%),Khmer (Cambodian)_1,695
British Columbia / Colombie-Britannique ( 26.1%),Vietnamese_4,14190
British Columbia / Colombie-Britannique ( 26.1%),Bisayan languages_1,1865
British Columbia / Colombie-Britannique ( 26.1%),Ilocano_1,1560
British Columbia / Colombie-Britannique ( 26.1%),Malay_1,3150
British Columbia / Colombie-Britannique ( 26.1%),"Tagalog (Pilipino,Filipino)_1",39680
British Columbia / Colombie-Britannique ( 26.1%),Akan (Twi)_1,245
British Columbia / Colombie-Britannique ( 26.1%),Lingala_1,115
British Columbia / Colombie-Britannique ( 26.1%),Rundi (Kirundi)_1,60
British Columbia / Colombie-Britannique ( 26.1%),Rwanda (Kinyarwanda)_1,70
British Columbia / Colombie-Britannique ( 26.1%),Swahili_1,1685
British Columbia / Colombie-Britannique ( 26.1%),"Bantu languages, n.i.e._1",495
British Columbia / Colombie-Britannique ( 26.1%),"Niger-Congo languages, n.i.e._1",770
British Columbia / Colombie-Britannique ( 26.1%),"African languages, n.i.e._1",475
British Columbia / Colombie-Britannique ( 26.1%),Creoles_1,745
British Columbia / Colombie-Britannique ( 26.1%),Other non-Aboriginal languages_1,9160
British Columbia / Colombie-Britannique ( 26.1%),Females in private households by non-official languages spoken,717675
British Columbia / Colombie-Britannique ( 26.1%),Aboriginal languages_2,7805
British Columbia / Colombie-Britannique ( 26.1%),Algonquin_2,0
British Columbia / Colombie-Britannique ( 26.1%),Atikamekw_2,0
British Columbia / Colombie-Britannique ( 26.1%),Blackfoot_2,20
British Columbia / Colombie-Britannique ( 26.1%),Cree languages_2,740
British Columbia / Colombie-Britannique ( 26.1%),Mi'kmaq_2,0
British Columbia / Colombie-Britannique ( 26.1%),Innu/Montagnais_2,0
British Columbia / Colombie-Britannique ( 26.1%),Ojibway_2,135
British Columbia / Colombie-Britannique ( 26.1%),Oji-Cree_2,0
British Columbia / Colombie-Britannique ( 26.1%),Carrier_2,970
British Columbia / Colombie-Britannique ( 26.1%),Dene_2,55
British Columbia / Colombie-Britannique ( 26.1%),Tlicho (Dogrib)_2,0
British Columbia / Colombie-Britannique ( 26.1%),"Slavey, n.o.s._2",55
British Columbia / Colombie-Britannique ( 26.1%),Stoney_2,0
British Columbia / Colombie-Britannique ( 26.1%),Inuktitut_2,45
British Columbia / Colombie-Britannique ( 26.1%),Other Aboriginal languages_2,5905
British Columbia / Colombie-Britannique ( 26.1%),Non-Aboriginal languages_2,710020
British Columbia / Colombie-Britannique ( 26.1%),Italian_5,18095
British Columbia / Colombie-Britannique ( 26.1%),Portuguese_5,9410
British Columbia / Colombie-Britannique ( 26.1%),Romanian_5,4375
British Columbia / Colombie-Britannique ( 26.1%),Spanish_5,51615
British Columbia / Colombie-Britannique ( 26.1%),Dutch_5,14455
British Columbia / Colombie-Britannique ( 26.1%),Flemish_5,340
British Columbia / Colombie-Britannique ( 26.1%),German_5,49495
British Columbia / Colombie-Britannique ( 26.1%),Yiddish_2,260
British Columbia / Colombie-Britannique ( 26.1%),Danish_5,3340
British Columbia / Colombie-Britannique ( 26.1%),Norwegian_5,1425
British Columbia / Colombie-Britannique ( 26.1%),Swedish_5,2345
British Columbia / Colombie-Britannique ( 26.1%),Afrikaans_2,3770
British Columbia / Colombie-Britannique ( 26.1%),Gaelic languages_2,555
British Columbia / Colombie-Britannique ( 26.1%),Bosnian_5,640
British Columbia / Colombie-Britannique ( 26.1%),Bulgarian_5,995
British Columbia / Colombie-Britannique ( 26.1%),Croatian_5,4605
British Columbia / Colombie-Britannique ( 26.1%),Czech_5,3050
British Columbia / Colombie-Britannique ( 26.1%),Macedonian_5,180
British Columbia / Colombie-Britannique ( 26.1%),Polish_5,9790
British Columbia / Colombie-Britannique ( 26.1%),Russian_5,15445
British Columbia / Colombie-Britannique ( 26.1%),Serbian_5,4090
British Columbia / Colombie-Britannique ( 26.1%),Serbo-Croatian_2,840
British Columbia / Colombie-Britannique ( 26.1%),Slovak_5,1785
British Columbia / Colombie-Britannique ( 26.1%),Slovenian_5,635
British Columbia / Colombie-Britannique ( 26.1%),Ukrainian_5,6675
British Columbia / Colombie-Britannique ( 26.1%),Latvian_5,295
British Columbia / Colombie-Britannique ( 26.1%),Lithuanian_5,205
British Columbia / Colombie-Britannique ( 26.1%),Greek_5,3890
British Columbia / Colombie-Britannique ( 26.1%),Armenian_5,690
British Columbia / Colombie-Britannique ( 26.1%),Albanian_5,645
British Columbia / Colombie-Britannique ( 26.1%),Estonian_5,475
British Columbia / Colombie-Britannique ( 26.1%),Finnish_5,2095
British Columbia / Colombie-Britannique ( 26.1%),Hungarian_5,5045
British Columbia / Colombie-Britannique ( 26.1%),Turkish_2,2050
British Columbia / Colombie-Britannique ( 26.1%),Berber languages (Kabyle)_2,0
British Columbia / Colombie-Britannique ( 26.1%),Oromo_5,130
British Columbia / Colombie-Britannique ( 26.1%),Somali_5,385
British Columbia / Colombie-Britannique ( 26.1%),Amharic_2,780
British Columbia / Colombie-Britannique ( 26.1%),Arabic_2,7760
British Columbia / Colombie-Britannique ( 26.1%),Hebrew_2,2180
British Columbia / Colombie-Britannique ( 26.1%),Maltese_5,130
British Columbia / Colombie-Britannique ( 26.1%),Tigrigna_2,420
British Columbia / Colombie-Britannique ( 26.1%),"Semitic languages, n.i.e._2",320
British Columbia / Colombie-Britannique ( 26.1%),Bengali_5,1150
British Columbia / Colombie-Britannique ( 26.1%),Gujarati_5,4955
British Columbia / Colombie-Britannique ( 26.1%),Hindi_2,33720
British Columbia / Colombie-Britannique ( 26.1%),Konkani_2,185
British Columbia / Colombie-Britannique ( 26.1%),Marathi_2,310
British Columbia / Colombie-Britannique ( 26.1%),Panjabi (Punjabi)_2,106655
British Columbia / Colombie-Britannique ( 26.1%),Sindhi_2,1410
British Columbia / Colombie-Britannique ( 26.1%),Sinhala (Sinhalese)_2,1100
British Columbia / Colombie-Britannique ( 26.1%),Urdu_2,6395
British Columbia / Colombie-Britannique ( 26.1%),Nepali_5,565
British Columbia / Colombie-Britannique ( 26.1%),Kurdish_2,660
British Columbia / Colombie-Britannique ( 26.1%),Pashto_2,560
British Columbia / Colombie-Britannique ( 26.1%),Persian (Farsi)_2,20050
British Columbia / Colombie-Britannique ( 26.1%),"Indo-Iranian languages, n.i.e._2",495
British Columbia / Colombie-Britannique ( 26.1%),Kannada_2,215
British Columbia / Colombie-Britannique ( 26.1%),Malayalam_2,995
British Columbia / Colombie-Britannique ( 26.1%),Tamil_5,2570
British Columbia / Colombie-Britannique ( 26.1%),Telugu_2,410
British Columbia / Colombie-Britannique ( 26.1%),Japanese_8,19310
British Columbia / Colombie-Britannique ( 26.1%),Korean_8,27305
British Columbia / Colombie-Britannique ( 26.1%),Cantonese_2,90095
British Columbia / Colombie-Britannique ( 26.1%),Fukien_2,1395
British Columbia / Colombie-Britannique ( 26.1%),Hakka_2,720
British Columbia / Colombie-Britannique ( 26.1%),Mandarin_2,77975
British Columbia / Colombie-Britannique ( 26.1%),Taiwanese_5,4820
British Columbia / Colombie-Britannique ( 26.1%),"Chinese, n.o.s._2",60910
British Columbia / Colombie-Britannique ( 26.1%),Lao_2,835
British Columbia / Colombie-Britannique ( 26.1%),Thai_5,2205
British Columbia / Colombie-Britannique ( 26.1%),Khmer (Cambodian)_2,730
British Columbia / Colombie-Britannique ( 26.1%),Vietnamese_5,16620
British Columbia / Colombie-Britannique ( 26.1%),Bisayan languages_2,2820
British Columbia / Colombie-Britannique ( 26.1%),Ilocano_2,2755
British Columbia / Colombie-Britannique ( 26.1%),Malay_2,3610
British Columbia / Colombie-Britannique ( 26.1%),"Tagalog (Pilipino,Filipino)_2",60220
British Columbia / Colombie-Britannique ( 26.1%),Akan (Twi)_2,280
British Columbia / Colombie-Britannique ( 26.1%),Lingala_2,240
British Columbia / Colombie-Britannique ( 26.1%),Rundi (Kirundi)_2,55
British Columbia / Colombie-Britannique ( 26.1%),Rwanda (Kinyarwanda)_2,55
British Columbia / Colombie-Britannique ( 26.1%),Swahili_2,1565
British Columbia / Colombie-Britannique ( 26.1%),"Bantu languages, n.i.e._2",570
British Columbia / Colombie-Britannique ( 26.1%),"Niger-Congo languages, n.i.e._2",680
British Columbia / Colombie-Britannique ( 26.1%),"African languages, n.i.e._2",535
British Columbia / Colombie-Britannique ( 26.1%),Creoles_2,775
British Columbia / Colombie-Britannique ( 26.1%),Other non-Aboriginal languages_2,11015
British Columbia / Colombie-Britannique ( 26.1%),Total - Mobility status 1 year ago,4282100
British Columbia / Colombie-Britannique ( 26.1%),Non-movers,3665460
British Columbia / Colombie-Britannique ( 26.1%),Movers,616650
British Columbia / Colombie-Britannique ( 26.1%),Non-migrants,347835
British Columbia / Colombie-Britannique ( 26.1%),Migrants,268810
British Columbia / Colombie-Britannique ( 26.1%),Internal migrants,212385
British Columbia / Colombie-Britannique ( 26.1%),Intraprovincial migrants,167280
British Columbia / Colombie-Britannique ( 26.1%),Interprovincial migrants,45105
British Columbia / Colombie-Britannique ( 26.1%),External migrants,56425
British Columbia / Colombie-Britannique ( 26.1%),Males - Mobility status 1 year ago,2104325
British Columbia / Colombie-Britannique ( 26.1%),Non-movers_1,1800285
British Columbia / Colombie-Britannique ( 26.1%),Movers_1,304040
British Columbia / Colombie-Britannique ( 26.1%),Non-migrants_1,171225
British Columbia / Colombie-Britannique ( 26.1%),Migrants_1,132820
British Columbia / Colombie-Britannique ( 26.1%),Internal migrants_1,105465
British Columbia / Colombie-Britannique ( 26.1%),Intraprovincial migrants_1,82870
British Columbia / Colombie-Britannique ( 26.1%),Interprovincial migrants_1,22590
British Columbia / Colombie-Britannique ( 26.1%),External migrants_1,27360
British Columbia / Colombie-Britannique ( 26.1%),Females - Mobility status 1 year ago,2177780
British Columbia / Colombie-Britannique ( 26.1%),Non-movers_2,1865170
British Columbia / Colombie-Britannique ( 26.1%),Movers_2,312605
British Columbia / Colombie-Britannique ( 26.1%),Non-migrants_2,176615
British Columbia / Colombie-Britannique ( 26.1%),Migrants_2,135990
British Columbia / Colombie-Britannique ( 26.1%),Internal migrants_2,106920
British Columbia / Colombie-Britannique ( 26.1%),Intraprovincial migrants_2,84405
British Columbia / Colombie-Britannique ( 26.1%),Interprovincial migrants_2,22515
British Columbia / Colombie-Britannique ( 26.1%),External migrants_2,29065
British Columbia / Colombie-Britannique ( 26.1%),Total - Mobility status 5 years ago,4104200
British Columbia / Colombie-Britannique ( 26.1%),Non-movers_3,2349525
British Columbia / Colombie-Britannique ( 26.1%),Movers_3,1754670
British Columbia / Colombie-Britannique ( 26.1%),Non-migrants_3,888335
British Columbia / Colombie-Britannique ( 26.1%),Migrants_3,866335
British Columbia / Colombie-Britannique ( 26.1%),Internal migrants_3,653285
British Columbia / Colombie-Britannique ( 26.1%),Intraprovincial migrants_3,486835
British Columbia / Colombie-Britannique ( 26.1%),Interprovincial migrants_3,166455
British Columbia / Colombie-Britannique ( 26.1%),External migrants_3,213050
British Columbia / Colombie-Britannique ( 26.1%),Males - Mobility status 5 years ago,2012810
British Columbia / Colombie-Britannique ( 26.1%),Non-movers_4,1149690
British Columbia / Colombie-Britannique ( 26.1%),Movers_4,863120
British Columbia / Colombie-Britannique ( 26.1%),Non-migrants_4,437165
British Columbia / Colombie-Britannique ( 26.1%),Migrants_4,425950
British Columbia / Colombie-Britannique ( 26.1%),Internal migrants_4,323595
British Columbia / Colombie-Britannique ( 26.1%),Intraprovincial migrants_4,239700
British Columbia / Colombie-Britannique ( 26.1%),Interprovincial migrants_4,83895
British Columbia / Colombie-Britannique ( 26.1%),External migrants_4,102355
British Columbia / Colombie-Britannique ( 26.1%),Females - Mobility status 5 years ago,2091390
British Columbia / Colombie-Britannique ( 26.1%),Non-movers_5,1199835
British Columbia / Colombie-Britannique ( 26.1%),Movers_5,891550
British Columbia / Colombie-Britannique ( 26.1%),Non-migrants_5,451170
British Columbia / Colombie-Britannique ( 26.1%),Migrants_5,440385
British Columbia / Colombie-Britannique ( 26.1%),Internal migrants_5,329690
British Columbia / Colombie-Britannique ( 26.1%),Intraprovincial migrants_5,247135
British Columbia / Colombie-Britannique ( 26.1%),Interprovincial migrants_5,82560
British Columbia / Colombie-Britannique ( 26.1%),External migrants_5,110690
British Columbia / Colombie-Britannique ( 26.1%),"Total population aged 15 years and over by highest certificate, diploma or degree",3646840
British Columbia / Colombie-Britannique ( 26.1%),"No certificate, diploma or degree",607660
British Columbia / Colombie-Britannique ( 26.1%),High school diploma or equivalent,1009395
British Columbia / Colombie-Britannique ( 26.1%),"Postsecondary certificate, diploma or degree",2029785
British Columbia / Colombie-Britannique ( 26.1%),Apprenticeship or trades certificate or diploma,387455
British Columbia / Colombie-Britannique ( 26.1%),"College, CEGEP or other non-university certificate or diploma",628120
British Columbia / Colombie-Britannique ( 26.1%),University certificate or diploma below bachelor level,208245
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree at bachelor level or above",805970
British Columbia / Colombie-Britannique ( 26.1%),Bachelor's degree,511245
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree above bachelor level",294720
British Columbia / Colombie-Britannique ( 26.1%),"Males aged 15 years and over by highest certificate, diploma or degree",1775440
British Columbia / Colombie-Britannique ( 26.1%),"No certificate, diploma or degree_1",305035
British Columbia / Colombie-Britannique ( 26.1%),High school diploma or equivalent_1,475670
British Columbia / Colombie-Britannique ( 26.1%),"Postsecondary certificate, diploma or degree_1",994740
British Columbia / Colombie-Britannique ( 26.1%),Apprenticeship or trades certificate or diploma_1,262245
British Columbia / Colombie-Britannique ( 26.1%),"College, CEGEP or other non-university certificate or diploma_1",260580
British Columbia / Colombie-Britannique ( 26.1%),University certificate or diploma below bachelor level_1,86995
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree at bachelor level or above_1",384915
British Columbia / Colombie-Britannique ( 26.1%),Bachelor's degree_1,235615
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree above bachelor level_1",149300
British Columbia / Colombie-Britannique ( 26.1%),"Females aged 15 years and over by highest certificate, diploma or degree",1871400
British Columbia / Colombie-Britannique ( 26.1%),"No certificate, diploma or degree_2",302620
British Columbia / Colombie-Britannique ( 26.1%),High school diploma or equivalent_2,533735
British Columbia / Colombie-Britannique ( 26.1%),"Postsecondary certificate, diploma or degree_2",1035045
British Columbia / Colombie-Britannique ( 26.1%),Apprenticeship or trades certificate or diploma_2,125210
British Columbia / Colombie-Britannique ( 26.1%),"College, CEGEP or other non-university certificate or diploma_2",367535
British Columbia / Colombie-Britannique ( 26.1%),University certificate or diploma below bachelor level_2,121250
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree at bachelor level or above_2",421050
British Columbia / Colombie-Britannique ( 26.1%),Bachelor's degree_2,275625
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree above bachelor level_2",145425
British Columbia / Colombie-Britannique ( 26.1%),"Total population aged 25 to 64 years by highest certificate, diploma or degree",2451615
British Columbia / Colombie-Britannique ( 26.1%),"No certificate, diploma or degree_3",247395
British Columbia / Colombie-Britannique ( 26.1%),High school diploma or equivalent_3,614590
British Columbia / Colombie-Britannique ( 26.1%),"Postsecondary certificate, diploma or degree_3",1589635
British Columbia / Colombie-Britannique ( 26.1%),Apprenticeship or trades certificate or diploma_3,277125
British Columbia / Colombie-Britannique ( 26.1%),"College, CEGEP or other non-university certificate or diploma_3",488905
British Columbia / Colombie-Britannique ( 26.1%),University certificate or diploma below bachelor level_3,155475
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree at bachelor level or above_3",668130
British Columbia / Colombie-Britannique ( 26.1%),Bachelor's degree_3,424720
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree above bachelor level_3",243405
British Columbia / Colombie-Britannique ( 26.1%),"Males aged 25 to 64 years by highest certificate, diploma or degree",1189465
British Columbia / Colombie-Britannique ( 26.1%),"No certificate, diploma or degree_4",132000
British Columbia / Colombie-Britannique ( 26.1%),High school diploma or equivalent_4,293740
British Columbia / Colombie-Britannique ( 26.1%),"Postsecondary certificate, diploma or degree_4",763725
British Columbia / Colombie-Britannique ( 26.1%),Apprenticeship or trades certificate or diploma_4,186985
British Columbia / Colombie-Britannique ( 26.1%),"College, CEGEP or other non-university certificate or diploma_4",202165
British Columbia / Colombie-Britannique ( 26.1%),University certificate or diploma below bachelor level_4,65045
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree at bachelor level or above_4",309530
British Columbia / Colombie-Britannique ( 26.1%),Bachelor's degree_4,192435
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree above bachelor level_4",117090
British Columbia / Colombie-Britannique ( 26.1%),"Females aged 25 to 64 years by highest certificate, diploma or degree",1262150
British Columbia / Colombie-Britannique ( 26.1%),"No certificate, diploma or degree_5",115395
British Columbia / Colombie-Britannique ( 26.1%),High school diploma or equivalent_5,320850
British Columbia / Colombie-Britannique ( 26.1%),"Postsecondary certificate, diploma or degree_5",825910
British Columbia / Colombie-Britannique ( 26.1%),Apprenticeship or trades certificate or diploma_5,90140
British Columbia / Colombie-Britannique ( 26.1%),"College, CEGEP or other non-university certificate or diploma_5",286735
British Columbia / Colombie-Britannique ( 26.1%),University certificate or diploma below bachelor level_5,90435
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree at bachelor level or above_5",358600
British Columbia / Colombie-Britannique ( 26.1%),Bachelor's degree_5,232285
British Columbia / Colombie-Britannique ( 26.1%),"University certificate, diploma or degree above bachelor level_5",126315
British Columbia / Colombie-Britannique ( 26.1%),Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,3646840
British Columbia / Colombie-Britannique ( 26.1%),"No postsecondary certificate, diploma or degree",1617060
British Columbia / Colombie-Britannique ( 26.1%),Education,149980
British Columbia / Colombie-Britannique ( 26.1%),"Visual and performing arts, and communications technologies",89235
British Columbia / Colombie-Britannique ( 26.1%),Humanities,120340
British Columbia / Colombie-Britannique ( 26.1%),Social and behavioural sciences and law,209660
British Columbia / Colombie-Britannique ( 26.1%),"Business, management and public administration",412335
British Columbia / Colombie-Britannique ( 26.1%),Physical and life sciences and technologies,79975
British Columbia / Colombie-Britannique ( 26.1%),"Mathematics, computer and information sciences",72705
British Columbia / Colombie-Britannique ( 26.1%),"Architecture, engineering, and related technologies",421115
British Columbia / Colombie-Britannique ( 26.1%),"Agriculture, natural resources and conservation",49275
British Columbia / Colombie-Britannique ( 26.1%),Health and related fields,308885
British Columbia / Colombie-Britannique ( 26.1%),"Personal, protective and transportation services",116020
